GAINS3_EventID,GAINS3_SampleUnitID,ContainerID,ContainerType,Quantity,QuantityCertainty,QuantityUnit,SampleUnitID,AnimalID (GAINS),AnimalID from Country,PriortizedForTesting,SampleDate,SampleUnitLatitude,SampleUnitLongitude,ButcherReducesBloodContact,CircumstanceOfObservation,OtherConditionOfPreservation,OriginKnown,OriginLocation,TimeSinceOrigin,DestinationProduct,VendorQuantity,PriceUnitUSD,RateSaleSold,IdentifiedBy,CircumstanceObservation,AnimalClassification,Taxagroup,SpeciesScientificName,SpeciesCommonNameEnglish,SpeciesCommonNameLocal,IdentificationCertainty,TagBandID,Sex,AgeClass,Pregnant,WithYoung,Lactating,ConditionAtCapture,ConditionAtRelease,PreservationMethod,OtherConditionPreservation,Use,OtherUse,Euthanasia,ClinicalSigns/GrossFindings,DiseaseSuspected,SuspectedDIsease,Necropsy/exam,FieldNecropsyResult,BodyMeasurementBodyPartType,BodyMeasurementUnit,BodyMeasurementValue,PartName,PartDescription,PerceivedRateOfSale,PriceUnitLocal,VendorQuantityUnit,VendorQuantityCertainty,ButcheringActivity,ButcherName,ButcherObservableRiskFactors,Quarter,SampleUnitNotes,SampleUnitCustomColumns,class,order,family,genus,species,DateLastUpdated,SampleIndividualName,CRDate,LMDate,Country
112,191,NA,NA,NA,NA,NA,GVF-CM-ECO95866,GVF-CM-ECO95866,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95866,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,192,NA,NA,NA,NA,NA,GVF-CM-ECO95867,GVF-CM-ECO95867,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95867,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,193,NA,NA,NA,NA,NA,GVF-CM-ECO95868,GVF-CM-ECO95868,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95868,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,194,NA,NA,NA,NA,NA,GVF-CM-ECO95869,GVF-CM-ECO95869,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95869,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,195,NA,NA,NA,NA,NA,GVF-CM-ECO95870,GVF-CM-ECO95870,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95870,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,196,NA,NA,NA,NA,NA,GVF-CM-ECO95871,GVF-CM-ECO95871,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95871,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,197,NA,NA,NA,NA,NA,GVF-CM-ECO95872,GVF-CM-ECO95872,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95872,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,198,NA,NA,NA,NA,NA,GVF-CM-ECO95873,GVF-CM-ECO95873,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95873,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,199,NA,NA,NA,NA,NA,GVF-CM-ECO95874,GVF-CM-ECO95874,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95874,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
112,200,NA,NA,NA,NA,NA,GVF-CM-ECO95875,GVF-CM-ECO95875,NA,no,2010-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,identifier,NA,Wild,Bats,Epomops franqueti,Franquet's epauletted bat,NA,Estimate,NA,Unknown,Unknown,NA,NA,NA,Killed (fresh carcass),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FY1 Q2:  Jan 1 - Mar 31, 2010",NA,NA,Mammalia                           ,Chiroptera                         ,Pteropodidae                       ,Epomops                            ,franqueti,2015-03-04T00:15:42.33,GVF-CM-ECO95875,2015-03-04T00:15:42.33,2015-03-04T00:15:42.33,TestCOuntry1
