eidith_name,eidith_class,eidith_order,eidith_family,eidith_genus,eidith_species,itis_name,itis_class,itis_order,itis_family,itis_genus,itis_species,itis_subspecies,itis_binomial
Dracaena guianensis,Reptilia,Squamata,Teiidae,Dracaena,guianensis,Dracaena guianensis,Reptilia,Squamata,Teiidae,Dracaena,guianensis,,Dracaena guianensis
Semnopithecus cristatus,Mammalia,Primates,Cercopithecidae,Semnopithecus,cristatus,Trachypithecus cristatus,Mammalia,Primates,Cercopithecidae,Trachypithecus,cristatus,,Trachypithecus cristatus
Coelognathus radiatus,Reptilia,Squamata,Colubridae,Coelognathus,radiatus,Coelognathus radiatus,Reptilia,Squamata,Colubridae,Coelognathus,radiatus,,Coelognathus radiatus
